lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
130,0.5,1.147700271,1.647700271,24315.54634,46407.72116,161175.9791,1.357142857,1.642857143,1.313210672,1.313210672,1.960784314,1.960784314,0.5,0.285714286,0
131,0.5,1.147700271,1.647700271,17641.83796,50768.9993,100124.849,1.285714286,1.714285714,1.372699412,1.372699412,1.352941176,1.352941176,0.5,0.428571429,0
132,0.5,1.147700271,1.647700271,40854.53012,62701.66283,158105.1681,1.071428571,1.571428571,1.504421311,1.504421311,1.803921569,1.803921569,0.5,0.5,0
133,0.5,1.147700271,1.647700271,22974.64393,66916.39938,150827.2475,1.214285714,1.714285714,1.552795277,1.552795277,1.705882353,1.705882353,0.5,0.5,0
134,0.5,1.147700271,1.647700271,25474.18202,53943.405,120901.3611,1.285714286,1.857142857,1.417141689,1.417141689,1.549019608,1.549019608,0.5,0.571428571,0
135,0.5,1.147700271,1.647700271,24560.93428,52152.96383,152300.6284,1.214285714,1.428571429,1.386466097,1.386466097,1.843137255,1.843137255,0.5,0.214285714,0
136,0.5,1.147700271,1.647700271,28781.50186,67744.5773,151655.4255,1.142857143,1.571428571,1.555714829,1.555714829,1.705882353,1.705882353,0.5,0.428571429,0
137,0.5,1.147700271,1.647700271,26656.43487,52800.74763,112152.2395,1.214285714,1.714285714,1.38983092,1.38983092,1.470588235,1.470588235,0.5,0.5,0
138,0.5,1.147700271,1.647700271,29403.40475,57246.95819,136734.2112,1.214285714,1.785714286,1.449367666,1.449367666,1.666666667,1.666666667,0.5,0.571428571,0
139,0.5,1.147700271,1.647700271,22251.19952,54707.93294,95109.69177,1.285714286,1.571428571,1.421664559,1.421664559,1.215686275,1.215686275,0.5,0.285714286,0
140,0.5,1.147700271,1.647700271,31962.55731,61853.54923,104471.4951,1.071428571,1.428571429,1.504229946,1.504229946,1.254901961,1.254901961,0.5,0.357142857,0
141,0.5,1.147700271,1.647700271,18877.9353,50040.29454,102517.738,1.285714286,1.571428571,1.363805449,1.363805449,1.392156863,1.392156863,0.5,0.285714286,0
142,0.5,1.147700271,1.647700271,17867.91753,43804.27122,139207.7764,1.285714286,1.714285714,1.277141065,1.277141065,1.803921569,1.803921569,0.5,0.428571429,0
143,0.5,1.147700271,1.647700271,36121.06801,68063.42203,168211.0866,1.214285714,1.857142857,1.564242799,1.564242799,1.843137255,1.843137255,0.5,0.642857143,0
144,0.5,1.147700271,1.647700271,28728.4023,48581.07982,106140.4864,1.214285714,1.785714286,1.346327721,1.346327721,1.450980392,1.450980392,0.5,0.571428571,0
145,0.5,1.147700271,1.647700271,30904.46582,51286.30057,151433.9651,1.5,2,1.374497302,1.374497302,1.843137255,1.843137255,0.5,0.5,0
146,0.5,1.147700271,1.647700271,18412.17288,44339.57578,113299.4974,1.214285714,1.571428571,1.281423791,1.281423791,1.568627451,1.568627451,0.5,0.357142857,0
147,0.5,1.147700271,1.647700271,25641.22523,49990.95753,120989.4996,1.214285714,1.714285714,1.364279832,1.364279832,1.588235294,1.588235294,0.5,0.5,0
148,0.5,1.147700271,1.647700271,21933.99889,69154.06221,113998.9761,1.357142857,1.857142857,1.571715096,1.571715096,1.078431373,1.078431373,0.5,0.5,0
149,0.5,1.147700271,1.647700271,24301.708,61715.67391,124786.528,1.214285714,1.714285714,1.494892748,1.494892748,1.509803922,1.509803922,0.5,0.5,0
