lambda=0.5,T=100000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=False,,,,,,,,
133,0.5,1.147700271,1.647700271,5455.678859,6878.737239,8435.784465,1.533572822,1.533572822,1.690127949,1.690127949,1.810810811,1.810810811,0.5,0
134,0.5,1.147700271,1.647700271,3793.065522,5825.803817,8057.424186,1.488703704,1.790555556,1.184650715,1.184650715,1.783783784,1.783783784,0.5,0.301851852
135,0.5,1.147700271,1.647700271,4758.7872,4937.774839,5707.386629,1.290514403,1.322133059,1.430607764,1.430607764,1.567567568,1.567567568,0.5,0.031618656
136,0.5,1.147700271,1.647700271,5185.732173,4973.659417,5204.19421,1.49126891,1.49126891,1.445199351,1.445199351,1.486486486,1.486486486,0.5,0
137,0.5,1.147700271,1.647700271,2863.860071,5110.853169,4937.575382,1.257311385,1.614032922,1.473828601,1.473828601,1.378378378,1.378378378,0.5,0.356721536
138,0.5,1.147700271,1.647700271,5407.27208,6277.034412,5845.020673,1.524825929,1.524825929,1.643179618,1.643179618,1.189189189,1.189189189,0.5,0
139,0.5,1.147700271,1.647700271,4584.950735,5331.637501,5204.19421,1.283312757,1.3389369,1.247006302,1.247006302,1.486486486,1.486486486,0.5,0.055624143
140,0.5,1.147700271,1.647700271,5091.568926,5776.446568,6168.373289,1.441666667,1.558333333,1.188189677,1.188189677,1.621621622,1.621621622,0.5,0.116666667
141,0.5,1.147700271,1.647700271,3237.892772,8090.782704,11965.47087,1.380281207,1.619718793,1.035701438,1.035701438,2.027027027,2.027027027,0.5,0.239437586
142,0.5,1.147700271,1.647700271,4825.991309,4955.241522,6433.085584,1.394211248,1.408683128,1.43771896,1.43771896,1.648648649,1.648648649,0.5,0.014471879
143,0.5,1.147700271,1.647700271,5583.292744,5841.238782,5204.19421,1.581028807,1.612647462,1.59373038,1.59373038,1.486486486,1.486486486,0.5,0.031618656
144,0.5,1.147700271,1.647700271,3753.510131,5690.916214,6491.292192,1.076124829,1.314876543,1.569453501,1.569453501,1.135135135,1.135135135,0.5,0.238751715
145,0.5,1.147700271,1.647700271,3632.139608,5264.5641,6433.085584,1.246893004,1.423916324,1.50268862,1.50268862,1.648648649,1.648648649,0.5,0.17702332
146,0.5,1.147700271,1.647700271,4068.771377,5251.420323,5091.564556,1.345102881,1.482345679,1.509163273,1.509163273,1.459459459,1.459459459,0.5,0.137242798
147,0.5,1.147700271,1.647700271,3349.132773,9091.2926,5513.361766,1.150877915,1.39648834,1.856826998,1.856826998,1.540540541,1.540540541,0.5,0.245610425
148,0.5,1.147700271,1.647700271,3803.444017,4892.117507,7025.628572,1.377880658,1.622119342,1.358253962,1.358253962,1.702702703,1.702702703,0.5,0.244238683
149,0.5,1.147700271,1.647700271,3884.032912,5554.365053,4956.852538,1.39845679,1.60154321,1.549603269,1.549603269,1.405405405,1.405405405,0.5,0.20308642
150,0.5,1.147700271,1.647700271,4063.775437,5038.409433,7351.447387,1.432407407,1.567592593,1.454004754,1.454004754,1.72972973,1.72972973,0.5,0.135185185
151,0.5,1.147700271,1.647700271,3955.903609,6939.587958,8057.424186,1.258415638,1.397030178,1.694747175,1.694747175,1.783783784,1.783783784,0.5,0.13861454
152,0.5,1.147700271,1.647700271,4503.772038,5390.108904,5591.91287,1.381591221,1.427613169,1.234161292,1.234161292,1.216216216,1.216216216,0.5,0.046021948
153,0.5,1.147700271,1.647700271,4917.571501,5257.240957,5345.219824,1.48281893,1.51718107,1.254230526,1.254230526,1.513513514,1.513513514,0.5,0.03436214
154,0.5,1.147700271,1.647700271,3739.021171,5529.520149,7351.447387,1.33303155,1.500452675,1.545394106,1.545394106,1.72972973,1.72972973,0.5,0.167421125
155,0.5,1.147700271,1.647700271,3886.164786,4883.311506,6168.373289,1.345925926,1.481111111,1.357547935,1.357547935,1.621621622,1.621621622,0.5,0.135185185
156,0.5,1.147700271,1.647700271,5066.915226,5892.504926,5513.361766,1.566961591,1.757016461,1.594007457,1.594007457,1.540540541,1.540540541,0.5,0.19005487
157,0.5,1.147700271,1.647700271,3910.950525,5068.830548,5204.19421,1.155816187,1.376735254,1.290094038,1.290094038,1.486486486,1.486486486,0.5,0.220919067
158,0.5,1.147700271,1.647700271,3397.540479,6492.046776,5204.19421,1.418888889,1.720740741,1.65889308,1.65889308,1.486486486,1.486486486,0.5,0.301851852
159,0.5,1.147700271,1.647700271,3369.798787,5320.681988,5216.212581,1.361419753,1.638580247,1.513639144,1.513639144,1.27027027,1.27027027,0.5,0.277160494
160,0.5,1.147700271,1.647700271,4049.011545,5900.783449,5382.923622,1.344554184,1.483168724,1.596904117,1.596904117,1.243243243,1.243243243,0.5,0.13861454
161,0.5,1.147700271,1.647700271,4165.116572,5069.161239,5091.564556,1.324801097,1.512798354,1.462739016,1.462739016,1.459459459,1.459459459,0.5,0.187997257
162,0.5,1.147700271,1.647700271,5149.993924,6363.206103,11965.47087,1.267669265,1.267669265,1.652325102,1.652325102,2.027027027,2.027027027,0.5,0
163,0.5,1.147700271,1.647700271,3803.670443,8521.931991,5382.923622,1.384739369,1.615260631,1.818688599,1.818688599,1.243243243,1.243243243,0.5,0.230521262
164,0.5,1.147700271,1.647700271,4776.728842,4972.524226,4952.308113,1.458127572,1.541872428,1.429634648,1.429634648,1.351351351,1.351351351,0.5,0.083744856
165,0.5,1.147700271,1.647700271,3455.780137,5853.334492,5216.212581,1.300109739,1.549835391,1.591001262,1.591001262,1.27027027,1.27027027,0.5,0.249725652
166,0.5,1.147700271,1.647700271,3579.894399,5287.436274,9662.253707,1.154444444,1.382222222,1.510041484,1.510041484,1.891891892,1.891891892,0.5,0.227777778
167,0.5,1.147700271,1.647700271,3535.280208,6355.887825,8435.784465,1.295720165,1.556419753,1.644884766,1.644884766,1.810810811,1.810810811,0.5,0.260699588
168,0.5,1.147700271,1.647700271,3690.347336,7648.715626,5345.219824,1.443580247,1.704279835,1.760759111,1.760759111,1.513513514,1.513513514,0.5,0.260699588
